job_family,career_track,role_name,level,role_description,this_names_can_map_here,count
Data & AI,Artificial Intelligence,AI Specialist (Senior),L4,"Implements AI solutions, develops generative AI applications, and creates AI implementation strategies for business problems",,0
Data & AI,Artificial Intelligence,AI Specialist (Master),L5,"Leads AI programs, defines AI architecture and strategy, establishes AI governance and best practices across the enterprise",,0
Data & AI,Business Intelligence,BI Analyst (Mid),L3,"Develops complex dashboards and data models, implements BI solutions, and provides analytical insights to stakeholders",Business Analyst,1
Data & AI,Business Intelligence,BI Analyst (Senior),L4,"Designs comprehensive BI solutions, mentors junior analysts, and develops enterprise reporting strategies",Business Analyst,1
Data & AI,Business Intelligence,BI Architect (Master),L5,"Defines enterprise BI strategy, establishes BI architecture standards, and leads business intelligence transformation initiatives",,0
Data & AI,Data Analysis,Data Analyst (Junior),L2,"Performs basic data analysis and reporting, creates simple visualizations, and supports data-driven decision making under guidance",Data & Analytics Specialist,10
Data & AI,Data Analysis,Data Analyst (Mid),L3,"Conducts complex data analysis, develops predictive insights, and creates advanced analytical reports for business stakeholders","Data & Analytics Specialist, Marketing Analyst",31
Data & AI,Data Analysis,Data Analyst (Senior),L4,"Leads strategic analysis initiatives, mentors junior analysts, provides data-driven recommendations to senior leadership","Data & Analytics Leader, Data & Analytics Manager, Data & Analytics Specialist",63
Data & AI,Data Analysis,Data Analyst (Master),L5,"Defines analytics program strategy, establishes analytical frameworks, and provides thought leadership in data analysis methodologies","Data & Analytics Manager, Data & Analytics Specialist, Data & Analytics Specialist Master",17
Data & AI,Data Analysis,Data Analytics Manager,L5,"Manages data analytics team, oversees analytical projects, develops team capabilities, and ensures delivery of data insights",Data & Analytics Manager,1
Data & AI,Data Analysis,Data Analytics Director,L6,"Directs enterprise analytics function, defines analytical strategy, manages multiple analytics teams and complex portfolios","Data & Analytics Strategist, Senior Director, Data, EMEA",2
Data & AI,Data Analysis,Senior Data Analytics Manager,L6,Senior management role overseeing regional or enterprise-wide analytics operations with significant team and budget responsibility,Senior Data & Analytics Manager,1
Data & AI,Data Architecture,Data Architect (Senior),L4,"Designs data architecture solutions, defines data models and integration patterns, provides technical leadership for data initiatives",Data Architect,4
Data & AI,Data Architecture,Data Architect (Master),L5,"Designs data architecture for domains and systems, defines data governance frameworks, establishes data integration strategies",Senior Data Architect,4
Data & AI,Data Architecture,Principal Data Architect (Expert),L6,"Defines enterprise-wide data strategy, establishes data standards and governance, provides strategic data architecture leadership",Principal Data Architect,1
Data & AI,Data Development,Data Developer (Junior),L2,"Develops basic ETL processes and data pipelines under supervision, learns data engineering fundamentals and tools",Data Developer,28
Data & AI,Data Development,Data Developer (Mid),L3,"Builds complex data pipelines and integration solutions, implements data transformation logic, ensures data quality","Data & Analytics Specialist, Data Developer",97
Data & AI,Data Development,Data Developer (Senior),L4,"Architects data platform solutions, leads data engineering initiatives, mentors team on data development best practices",Data Developer,126
Data & AI,Data Development,Data Developer (Master),L5,"Provides technical leadership for data platform development, defines data engineering standards, drives innovation in data infrastructure","Data Developer, Data Developer Master",25
Data & AI,Data Science,Data Scientist (Junior),L2,"Performs exploratory data analysis, builds basic predictive models, learns statistical methods and machine learning fundamentals",Data Scientist,2
Data & AI,Data Science,Data Scientist (Mid),L3,"Develops predictive models and statistical analyses, implements feature engineering, provides data-driven insights",Data Scientist,5
Data & AI,Data Science,Data Scientist (Senior),L4,"Designs advanced ML algorithms, leads data science projects, mentors junior scientists, drives innovation in analytical methods",Data Scientist,31
Data & AI,Data Science,Data Scientist (Master),L5,"Provides strategic leadership for data science programs, establishes methodologies, drives AI/ML adoption across enterprise",Data Scientist Master,7
Data & AI,Data Science,Principal Data Scientist,L6,"Senior data science leader defining enterprise analytics strategy, driving innovation, and establishing data science best practices",Principal Data Scientist,3
Data & AI,Machine Learning,ML Specialist (Mid),L3,"Develops machine learning models and training pipelines, implements ML algorithms, tunes model performance",,0
Data & AI,Machine Learning,ML Specialist (Senior),L4,"Architects ML platform solutions, implements MLOps practices, leads machine learning initiatives and model deployment",,0
Data & AI,Machine Learning,ML Specialist (Master),L5,"Defines ML platform strategy, establishes MLOps standards, provides technical leadership for machine learning programs",,0
Delivery & Operations,Customer Success,Customer Service (Junior),L2,"Provides customer support and issue resolution, handles client inquiries, ensures customer satisfaction under supervision",,0
Delivery & Operations,Customer Success,Customer Service (Mid),L3,"Handles technical customer support, manages escalations, develops customer support processes and documentation",,0
Delivery & Operations,Customer Success,CX Manager (Senior),L4,"Manages key customer accounts, develops CX programs, ensures client satisfaction and retention strategies",,0
Delivery & Operations,Customer Success,CX Manager (Master),L5,"Defines customer experience strategy, leads CX transformation initiatives, manages customer success programs",,0
Delivery & Operations,Management,Team Manager (Mid),L3,"Leads single squad or team, facilitates agile ceremonies, manages day-to-day team operations and resource allocation",Scrum Master,35
Delivery & Operations,Management,Team Manager (Senior),L4,"Manages multiple teams, provides leadership across delivery streams, ensures quality and productivity standards","Client Engagement Director, Project Manager, Scrum Master, Squad Leader, Support Master, Team Leader",269
Delivery & Operations,Management,Project Manager (Manager),L5,"Manages complex projects and programs, ensures delivery excellence, coordinates cross-functional initiatives","Project Manager, Scrum Master, Squad Leader",285
Delivery & Operations,Management,Program Manager (Senior Manager),L6,"Manages multi-project portfolios, provides strategic program leadership, drives organizational delivery excellence","Group Product Manager, Project Manager, Senior Business Director, EMEA, Senior Data & Analytics Manager, Senior Design Director, Senior Experience Manager, Senior Manager, Senior Product Director, Specialist Senior Manager, Squad Leader",193
Delivery & Operations,Management,Executive Manager,L7,"Leads business unit operations, provides executive leadership, manages large-scale delivery portfolios and P&L",,0
Delivery & Operations,Management,Executive Director,L8,"C-level delivery executive responsible for strategic direction, major client relationships, and enterprise-wide operations",,0
Digital Experience,Content & Communications,Copywriter (Mid),L3,"Creates compelling content and UX copy, develops brand messaging, writes marketing and product communications",,0
Digital Experience,Content & Communications,Copywriter (Senior),L4,"Defines content strategy and brand voice, leads content creation initiatives, mentors content creators",,0
Digital Experience,Content & Communications,Content Lead (Master),L5,"Provides editorial leadership, defines content programs and governance, establishes content strategy frameworks",Communication Designer Expert,1
Digital Experience,Digital Strategy,Digital Strategist (Senior),L4,"Defines customer experience strategies and digital roadmaps, leads digital transformation initiatives","Digital Strategist, Strategist",3
Digital Experience,Digital Strategy,Digital Strategist (Master),L5,"Leads enterprise digital transformation programs, defines digital innovation strategies, drives CX excellence",Digital Strategist,15
Digital Experience,Digital Strategy,Digital Strategist (Expert),L6,"Provides strategic digital leadership, drives innovation across digital channels, defines enterprise digital vision","Digital Strategist, Senior Digital Strategist, Senior Strategist, Senior Strategy Director, Strategist Master",22
Digital Experience,UI Design,UI Designer (Junior),L2,"Creates basic UI components and visual designs, learns design systems and visual design fundamentals","Communication Designer, Product Designer, UI Designer, UX Researcher, UX/UI Designer",11
Digital Experience,UI Design,UI Designer (Mid),L3,"Develops design systems and advanced UI components, creates consistent visual experiences across products","Product Designer, UI Designer",39
Digital Experience,UI Design,UI Designer (Senior),L4,"Provides design leadership, mentors junior designers, establishes design standards and visual brand systems","Communication Designer, Designer, Product Designer, Product Designer Expert, Product Lead, UI Designer, UX/UI Designer",67
Digital Experience,UI Design,UI Designer (Master),L5,"Defines design direction and brand systems, provides strategic design leadership, drives design innovation","Product Designer Expert, UI Designer, UI Expert",21
Digital Experience,UI Design,UI Design Manager,L5,"Manages UI design team, oversees design projects, develops team capabilities, ensures design quality and consistency",,0
Digital Experience,UI Design,Senior UI Design Manager,L6,"Senior management role leading multiple design teams, establishing design organization strategy and standards",,0
Digital Experience,UX Design,UX Designer (Mid),L3,"Designs user experiences, creates wireframes and prototypes, conducts usability testing, optimizes user journeys","Product Designer, Strategist, UX Designer, UX Researcher",10
Digital Experience,UX Design,UX Designer (Senior),L4,"Defines UX strategy, leads experience design initiatives, mentors UX team, establishes UX best practices","Product Lead, Senior Product Designer, UX Designer, UX Researcher, UX/UI Designer",27
Digital Experience,UX Design,UX Designer (Master),L5,"Provides strategic UX program leadership, defines experience design frameworks, drives UX innovation","Lead UX Designer, UX Designer, UX Expert",8
Digital Experience,UX Design,UX Manager,L5,"Manages UX design team, oversees user experience projects, develops design capabilities, ensures UX excellence",,0
Digital Experience,UX Design,UX Designer (Expert),L6,"Principal UX designer providing strategic design leadership, defining enterprise UX vision and standards",,0
Digital Experience,UX Design,Senior UX Manager,L6,"Senior management role leading UX organization, establishing UX strategy across multiple products and teams",,0
Digital Experience,UX Research,UX Researcher (Junior),L2,"Conducts basic usability testing and user interviews, learns user research methodologies and tools",,0
Digital Experience,UX Research,UX Researcher (Mid),L3,"Conducts comprehensive user research, implements research methodologies, provides actionable insights",,0
Digital Experience,UX Research,UX Researcher (Senior),L4,"Defines research strategy and program design, leads complex research initiatives, mentors research team",,0
Digital Experience,UX Research,UX Researcher (Master),L5,"Provides research leadership, establishes research frameworks and methodologies, drives insights-driven design",,0
Product & Business,Business Analysis,Business Analyst (Mid),L3,"Analyzes business processes, elicits and documents requirements, creates functional specifications, facilitates stakeholder communication","Associate Product Manager, Business Analyst, Commercial Partner, Product Manager-Americas, Product Owner",21
Product & Business,Business Analysis,Business Analyst (Senior),L4,"Defines requirements strategy, leads complex business analysis initiatives, manages stakeholder expectations",Business Analyst,48
Product & Business,Business Analysis,Lead Business Analyst (Master),L5,"Provides BA program leadership and methodology expertise, mentors BA team, establishes analysis frameworks",Business Expert,5
